,AAPL,GOOG,MSFT
2025-09-09 13:30:00+00:00,237.24000549316406,234.31500244140625,
2025-09-09 13:31:00+00:00,237.86000061035156,233.86000061035156,
2025-09-09 13:32:00+00:00,237.5500030517578,234.08999633789062,
2025-09-09 13:33:00+00:00,237.6750030517578,234.2899932861328,
2025-09-09 13:34:00+00:00,237.78500366210938,234.27000427246094,
2025-09-09 13:35:00+00:00,237.33999633789062,234.39999389648438,
2025-09-09 13:36:00+00:00,236.8800048828125,234.3699951171875,
2025-09-09 13:37:00+00:00,236.55999755859375,234.14999389648438,
2025-09-09 13:38:00+00:00,236.81680297851562,234.1699981689453,
2025-09-09 13:39:00+00:00,236.47140502929688,234.36000061035156,
2025-09-09 13:40:00+00:00,236.58999633789062,234.42999267578125,
2025-09-09 13:41:00+00:00,236.88999938964844,234.72000122070312,
2025-09-09 13:42:00+00:00,236.84500122070312,235.04739379882812,
2025-09-09 13:43:00+00:00,236.82000732421875,235.27999877929688,
2025-09-09 13:44:00+00:00,236.6699981689453,235.44000244140625,
2025-09-09 13:45:00+00:00,236.48089599609375,235.8470001220703,
2025-09-09 13:46:00+00:00,236.72999572753906,235.71009826660156,
2025-09-09 13:47:00+00:00,236.60000610351562,236.0500030517578,
2025-09-09 13:48:00+00:00,236.52000427246094,235.47000122070312,
2025-09-09 13:49:00+00:00,236.46499633789062,235.4600067138672,
2025-09-09 13:50:00+00:00,236.25999450683594,235.64500427246094,
2025-09-09 13:51:00+00:00,236.47999572753906,235.18739318847656,
2025-09-09 13:52:00+00:00,236.39500427246094,235.32260131835938,
2025-09-09 13:53:00+00:00,236.36000061035156,235.24000549316406,
2025-09-09 13:54:00+00:00,236.52999877929688,235.52999877929688,
2025-09-09 13:55:00+00:00,236.61500549316406,235.50999450683594,
2025-09-09 13:56:00+00:00,236.9199981689453,235.63499450683594,
2025-09-09 13:57:00+00:00,236.88839721679688,235.6300048828125,
2025-09-09 13:58:00+00:00,236.67919921875,235.6199951171875,
2025-09-09 13:59:00+00:00,236.8000030517578,235.75,
